"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"27139.84
 (47.39%)","28279.75
 (49.63%)","40903.49
 (108.29%)","0
 (NaN%)","0
 (NaN%)","0
 (NaN%)","27127.71
 (47.37%)","28151.4
 (49.43%)","39707.74
 (89.09%)"
"1.08
 (0.19%)","114.18
 (2.04%)","24399.47
 (61.16%)","1.09
 (0.14%)","116.4
 (1.52%)","38964.52
 (51.95%)","1.24
 (0.13%)","131.14
 (1.38%)","28154.09
 (28.75%)"
