"","k_first_day","aggr_survivors_death_Vax","aggr_hazards_death_Vax","aggr_survivors_death_Unvax","aggr_hazards_death_Unvax","kplus1_first_day"
"1",1,60000,0.000607164,240000,0.004263914,61
"2",61,149579.817899625,0.002613297,149360.412892575,0.004910356,121
