"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"48041.54
 (25.08%)","51050.02
 (26.9%)","183221.65
 (295.78%)","0
 (NaN%)","0
 (NaN%)","0
 (NaN%)","48034.29
 (25.07%)","50967.59
 (26.85%)","144266.72
 (142.84%)"
"-316.36
 (-16.51%)","-2814.54
 (-14.83%)","133578.07
 (215.64%)","0.7
 (0.03%)","72.59
 (0.3%)","9981.36
 (4.02%)","-31.53
 (-1.22%)","-270.1
 (-1.04%)","10765.53
 (4.17%)"
