"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"551.26
 (2.1%)","10575.04
 (14.47%)","28279.75
 (49.63%)","0
 (NaN%)","0
 (NaN%)","0
 (NaN%)","550.01
 (2.1%)","10526.5
 (14.44%)","28151.4
 (49.43%)"
"2.68
 (0.13%)","45.64
 (0.68%)","114.18
 (2.04%)","25.47
 (0.29%)","112.22
 (1.18%)","116.4
 (1.52%)","3.03
 (0.12%)","50.86
 (0.56%)","131.14
 (1.38%)"
