"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"18348.79
 (12.02%)","19706.57
 (12.92%)","65014.35
 (57.86%)","0
 (NaN%)","0
 (NaN%)","0
 (NaN%)","18333.15
 (12.01%)","19528.3
 (12.79%)","46502.42
 (35.06%)"
"-300.49
 (-19.75%)","-2911.27
 (-19.12%)","9526.54
 (7.96%)","0.11
 (0.01%)","11.35
 (0.06%)","1957.46
 (1.01%)","-30.05
 (-1.73%)","-291.24
 (-1.67%)","-132.51
 (-0.07%)"
