"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"25930.18
 (191.06%)","27362.86
 (204.35%)","77260.67
 (1883.18%)","0
 (NaN%)","0
 (NaN%)","0
 (NaN%)","25926.36
 (191.03%)","27319.99
 (203.97%)","62417.26
 (931.8%)"
"0.57
 (0.42%)","60.81
 (4.54%)","71795.51
 (1749.97%)","0.76
 (0.35%)","81.7
 (3.74%)","164255.82
 (763.85%)","0.83
 (0.35%)","89
 (3.77%)","173931.79
 (769.03%)"
